movieId,title,genres,overview
104,Happy Gilmore (1996),Comedy,"comedy, test tag, golf, Adam Sandler, 1996"
107,Muppet Treasure Island (1996),"Adventure, Children, Comedy, Musical","adventure, children, comedy, musical, muppets, 1996"
110,Braveheart (1995),"Action, Drama, War","action, drama, war, beautiful scenery, epic, historical, inspirational, Medieval, mel gibson, Oscar (Best Cinematography), revenge, sword fight, Scotland, 1995"
111,Taxi Driver (1976),"Crime, Drama, Thriller","crime, drama, thriller, assassination, 1976"
112,Rumble in the Bronx (Hont faan kui) (1995),"Action, Adventure, Comedy, Crime","action, adventure, comedy, crime, 1995"
135,Down Periscope (1996),Comedy,"comedy, 1996"
141,"Birdcage, The (1996)",Comedy,"comedy, 1996"
145,Bad Boys (1995),"Action, Comedy, Crime, Drama, Thriller","action, comedy, crime, drama, thriller, 1995"
150,Apollo 13 (1995),"Adventure, Drama, IMAX","adventure, drama, imax, moon, NASA, space, 1995"
151,Rob Roy (1995),"Action, Drama, Romance, War","action, drama, romance, war, 1995"
153,Batman Forever (1995),"Action, Adventure, Comedy, Crime","action, adventure, comedy, crime, superhero, superhero, 1995"
158,Casper (1995),"Adventure, Children","adventure, children, 1995"
160,Congo (1995),"Action, Adventure, Mystery, Sci-Fi","action, adventure, mystery, sci-fi, Michael Crichton, 1995"
161,Crimson Tide (1995),"Drama, Thriller, War","drama, thriller, war, submarine, 1995"
163,Desperado (1995),"Action, Romance, Western","action, romance, western, 1995"
165,Die Hard: With a Vengeance (1995),"Action, Crime, Thriller","action, crime, thriller, 1995"
168,First Knight (1995),"Action, Drama, Romance","action, drama, romance, 1995"
170,Hackers (1995),"Action, Adventure, Crime, Thriller","action, adventure, crime, thriller, 1995"
172,Johnny Mnemonic (1995),"Action, Sci-Fi, Thriller","action, sci-fi, thriller, 1995"
173,Judge Dredd (1995),"Action, Crime, Sci-Fi","action, crime, sci-fi, 1995"
180,Mallrats (1995),"Comedy, Romance","comedy, romance, 1995"
185,"Net, The (1995)","Action, Crime, Thriller","action, crime, thriller, computers, 1995"
186,Nine Months (1995),"Comedy, Romance","comedy, romance, 1995"
193,Showgirls (1995),Drama,"drama, 1995"
196,Species (1995),"Horror, Sci-Fi","horror, sci-fi, 1995"
198,Strange Days (1995),"Action, Crime, Drama, Mystery, Sci-Fi, Thriller","action, crime, drama, mystery, sci-fi, thriller, 1995"
204,Under Siege 2: Dark Territory (1995),Action,"action, 1995"
208,Waterworld (1995),"Action, Adventure, Sci-Fi","action, adventure, sci-fi, 1995"
216,Billy Madison (1995),Comedy,"comedy, school, Adam Sandler, stop looking at me swan, 1995"
223,Clerks (1994),Comedy,"comedy, cynical, hilarious, independent film, quirky, witty, generation X, 1994"
224,Don Juan DeMarco (1995),"Comedy, Drama, Romance","comedy, drama, romance, mental illness, psychology, 1995"
225,Disclosure (1994),"Drama, Thriller","drama, thriller, 1994"
231,Dumb & Dumber (Dumb and Dumber) (1994),"Adventure, Comedy","adventure, comedy, 1994"
235,Ed Wood (1994),"Comedy, Drama","comedy, drama, movie business, 1994"
236,French Kiss (1995),"Action, Comedy, Romance","action, comedy, romance, 1995"
246,Hoop Dreams (1994),Documentary,"documentary, basketball, 1994"
252,I.Q. (1994),"Comedy, Romance","comedy, romance, Einstein, 1994"
253,Interview with the Vampire: The Vampire Chronicles (1994),"Drama, Horror","drama, horror, 1994"
256,Junior (1994),"Comedy, Sci-Fi","comedy, sci-fi, 1994"
260,Star Wars: Episode IV - A New Hope (1977),"Action, Adventure, Sci-Fi","action, adventure, sci-fi, classic, space action, action, sci-fi, EPIC, great soundtrack, classic sci-fi, engrossing adventure, EPIC, classic, Nerd, classic sci-fi, space action, space epic, oldie but goodie, sci-fi, Star Wars, ROBOTS AND ANDROIDS, space, classic sci-fi, sci-fi, space adventure, Star Wars, darth vader, luke skywalker, space opera, 1977"
261,Little Women (1994),Drama,"drama, Louisa May Alcott, 1994"
265,Like Water for Chocolate (Como agua para chocolate) (1992),"Drama, Fantasy, Romance","drama, fantasy, romance, 1992"
266,Legends of the Fall (1994),"Drama, Romance, War, Western","drama, romance, war, western, 1994"
272,"Madness of King George, The (1994)","Comedy, Drama","comedy, drama, England, mental illness, 1994"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),"Drama, Horror, Sci-Fi","drama, horror, sci-fi, gothic, 1994"
277,Miracle on 34th Street (1994),Drama,"drama, Christmas, 1994"
282,Nell (1994),Drama,"drama, disability, twins, 1994"
288,Natural Born Killers (1994),"Action, Crime, Thriller","action, crime, thriller, brutality, controversial, dark comedy, psychedelic, satire, stylized, 1994"
292,Outbreak (1995),"Action, Drama, Sci-Fi, Thriller","action, drama, sci-fi, thriller, 1995"
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Action, Crime, Drama, Thriller","action, crime, drama, thriller, assassin, Jean Reno, hit men, Action, assassin, assassination, assassins, awkward romance, corruption, crime, disturbing, drama, French, friendship, Gary Oldman, great acting, Guns, hit men, hitman, humorous, imdb top 250, Jean Reno, Lolita theme, loneliness, love story, Luc Besson, Natalie Portman, organized crime, police, police corruption, quirky, sniper, tense, touching, unique, 1994"
296,Pulp Fiction (1994),"Comedy, Crime, Drama, Thriller","comedy, crime, drama, thriller, good dialogue, great soundtrack, non-linear, cult film, drugs, Quentin Tarantino, Tarantino, hit men, 1990s, achronological, action, action packed, aggressive, amazing, amazing dialogues, anthology, assassin, atmospheric, AWESOME, bad ass, bad language, bad-ass, bible, biblical references, big boys with guns, big name actors, Black comedy, black humor, black humour, blood, blood splatters, bloody, bruce willis, brutality, casual violence, character development, characters, classic, classic movie, coke, comedy, conversation, cool, cool style, crime, crime scene scrubbing, cult, cult classic, cult film, dance, dancing, dark, dark comedy, dark humor, dialogue, different, diner, disjointed timeline, disturbing, drama, drug overdose, drugs, drugs & music, ensemble cast, entertaining, entirely dialogue, episodic, exciting, fast paced, fast-paced, film noir, film-noir, foul language, fun, funny, gangster, gangsters, genius, golden watch, good dialogue, good music, gore, great acting, great dialogue, great soundtrack, gritty, guns, Harvey Keitel, heroin, Highly quotable, hit men, hitman, homosexuality, humour, iconic, imdb top 250, innovative, intellectual, intelligent, intense, interesting, intertwining storylines, interwoven storylines, ironic, irony, John Travolta, killer-as-protagonist, los angeles, Mafia, masterpiece, meaningless violence, milkshake, mobster, mobsters, monologue, motherfucker, multiple stories, multiple storylines, neo-noir, noir, non-linear, non-linear timeline, nonlinear, nonlinear narrative, nonlinear storyline, nonlinear timeline, notable soundtrack, offensive, organised crime, organized crime, original, original plot, out of order, Palme d'Or, parody, philosophical, pop culture references, psychological, pulp, Quentin Tarantino, quirky, Quotable, r:disturbing violent content including rape, r:disturbing violent images, r:graphic sexuality, r:some violence, r:strong bloody violence, r:strong language, r:sustained strong stylized violence, r:violence, random, rape, retro, Roger Avary, royal with cheese, Samuel L. Jackson, sarcasm, satire, sexy, smart writing, sophisticated, soundtrack, splatter, Steve Buscemi, storytelling, stylish, stylized, suspense, Tarantino, thought-provoking, thriller, travolta, twist ending, Uma Thurman, unique, unpredictable, unusual, very funny, violence, violent, witty, 1994"
300,Quiz Show (1994),Drama,"drama, TV, 1994"
303,"Quick and the Dead, The (1995)","Action, Thriller, Western","action, thriller, western, 1995"
315,"Specialist, The (1994)","Action, Drama, Thriller","action, drama, thriller, 1994"
316,Stargate (1994),"Action, Adventure, Sci-Fi","action, adventure, sci-fi, time travel, 1994"
317,"Santa Clause, The (1994)","Comedy, Drama, Fantasy","comedy, drama, fantasy, Christmas, 1994"
318,"Shawshank Redemption, The (1994)","Crime, Drama","crime, drama, prison, Stephen King, wrongful imprisonment, Morgan Freeman, 1994"
327,Tank Girl (1995),"Action, Comedy, Sci-Fi","action, comedy, sci-fi, 1995"
329,Star Trek: Generations (1994),"Adventure, Drama, Sci-Fi","adventure, drama, sci-fi, Enterprise, 1994"
333,Tommy Boy (1995),Comedy,"comedy, 1995"
337,What's Eating Gilbert Grape (1993),Drama,"drama, mental illness, 1993"
339,While You Were Sleeping (1995),"Comedy, Romance","comedy, romance, coma, 1995"
342,Muriel's Wedding (1994),Comedy,"comedy, Australia, weddings, 1994"
344,Ace Ventura: Pet Detective (1994),Comedy,"comedy, 1994"
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy, Drama","comedy, drama, cross dressing, men in drag, remade, 1994"
348,Bullets Over Broadway (1994),Comedy,"comedy, 1994"
349,Clear and Present Danger (1994),"Action, Crime, Drama, Thriller","action, crime, drama, thriller, Tom Clancy, 1994"
350,"Client, The (1994)","Drama, Mystery, Thriller","drama, mystery, thriller, John Grisham, 1994"
353,"Crow, The (1994)","Action, Crime, Fantasy, Thriller","action, crime, fantasy, thriller, 1994"
355,"Flintstones, The (1994)","Children, Comedy, Fantasy","children, comedy, fantasy, 1994"
356,Forrest Gump (1994),"Comedy, Drama, Romance, War","comedy, drama, romance, war, shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does, bittersweet, emotional, heartwarming, touching, 1994"
357,Four Weddings and a Funeral (1994),"Comedy, Romance","comedy, romance, wedding, 1994"
362,"Jungle Book, The (1994)","Adventure, Children, Romance","adventure, children, romance, 1994"
364,"Lion King, The (1994)","Adventure, Animation, Children, Drama, Musical, IMAX","adventure, animation, children, drama, musical, imax, Disney, Disney animated feature, Oscar (Best Music - Original Score), soundtrack, Disney, 1994"
367,"Mask, The (1994)","Action, Comedy, Crime, Fantasy","action, comedy, crime, fantasy, 1994"
368,Maverick (1994),"Adventure, Comedy, Western","adventure, comedy, western, 1994"
370,Naked Gun 33 1/3: The Final Insult (1994),"Action, Comedy","action, comedy, 1994"
374,Richie Rich (1994),"Children, Comedy","children, comedy, 1994"
376,"River Wild, The (1994)","Action, Thriller","action, thriller, 1994"
377,Speed (1994),"Action, Romance, Thriller","action, romance, thriller, bus, 1994"
380,True Lies (1994),"Action, Adventure, Comedy, Romance, Thriller","action, adventure, comedy, romance, thriller, spies, 1994"
410,Addams Family Values (1993),"Children, Comedy, Fantasy","children, comedy, fantasy, black comedy, Christina Ricci, Christopher Lloyd, dark comedy, family, gothic, 1993"
413,Airheads (1994),Comedy,"comedy, Comedy, 1994"
420,Beverly Hills Cop III (1994),"Action, Comedy, Crime, Thriller","action, comedy, crime, thriller, 1994"
431,Carlito's Way (1993),"Crime, Drama","crime, drama, Al Pacino, gangster, mafia, 1993"
432,City Slickers II: The Legend of Curly's Gold (1994),"Adventure, Comedy, Western","adventure, comedy, western, 1994"
434,Cliffhanger (1993),"Action, Adventure, Thriller","action, adventure, thriller, 1993"
435,Coneheads (1993),"Comedy, Sci-Fi","comedy, sci-fi, 1993"
440,Dave (1993),"Comedy, Romance","comedy, romance, President, 1993"
441,Dazed and Confused (1993),Comedy,"comedy, 1993"
442,Demolition Man (1993),"Action, Adventure, Sci-Fi","action, adventure, sci-fi, 1993"
454,"Firm, The (1993)","Drama, Thriller","drama, thriller, John Grisham, 1993"
455,Free Willy (1993),"Adventure, Children, Drama","adventure, children, drama, 1993"
457,"Fugitive, The (1993)",Thriller,"thriller, based on a TV show, 1993"
466,Hot Shots! Part Deux (1993),"Action, Comedy, War","action, comedy, war, 1993"
471,"Hudsucker Proxy, The (1994)",Comedy,"comedy, hula hoop, 1994"
474,In the Line of Fire (1993),"Action, Thriller","action, thriller, assassination, 1993"
475,In the Name of the Father (1993),Drama,"drama, Ireland, 1993"
480,Jurassic Park (1993),"Action, Adventure, Sci-Fi, Thriller","action, adventure, sci-fi, thriller, Dinosaur, 1993"
485,Last Action Hero (1993),"Action, Adventure, Comedy, Fantasy","action, adventure, comedy, fantasy, 1993"
494,Executive Decision (1996),"Action, Adventure, Thriller","action, adventure, thriller, 1996"
497,Much Ado About Nothing (1993),"Comedy, Romance","comedy, romance, Shakespeare, 1993"
500,Mrs. Doubtfire (1993),"Comedy, Drama","comedy, drama, cross dressing, divorce, men in drag, 1993"
508,Philadelphia (1993),Drama,"drama, AIDs, 1993"
509,"Piano, The (1993)","Drama, Romance","drama, romance, 1993"
520,Robin Hood: Men in Tights (1993),Comedy,"comedy, 1993"
524,Rudy (1993),Drama,"drama, football, 1993"
527,Schindler's List (1993),"Drama, War","drama, war, moving, thought-provoking, Holocaust, based on a true story, biography, disturbing, holocaust, 1993"
529,Searching for Bobby Fischer (1993),Drama,"drama, chess, 1993"
539,Sleepless in Seattle (1993),"Comedy, Drama, Romance","comedy, drama, romance, Empire State Building, 1993"
541,Blade Runner (1982),"Action, Sci-Fi, Thriller","action, sci-fi, thriller, sci-fi, robots, androids, artificial intelligence, atmospheric, cyberpunk, future, mindfuck, Philip K. Dick, atmospheric, dreamlike, existentialism, philosophical, 1982"
543,So I Married an Axe Murderer (1993),"Comedy, Romance, Thriller","comedy, romance, thriller, beat poetry, 1993"
551,"Nightmare Before Christmas, The (1993)","Animation, Children, Fantasy, Musical","animation, children, fantasy, musical, Christmas, Halloween, 1993"
552,"Three Musketeers, The (1993)","Action, Adventure, Comedy, Romance","action, adventure, comedy, romance, knights, 1993"
553,Tombstone (1993),"Action, Drama, Western","action, drama, western, 1993"
555,True Romance (1993),"Crime, Thriller","crime, thriller, 1993"
585,"Brady Bunch Movie, The (1995)",Comedy,"comedy, 1995"
586,Home Alone (1990),"Children, Comedy","children, comedy, christmas, 1990"
587,Ghost (1990),"Comedy, Drama, Fantasy, Romance, Thriller","comedy, drama, fantasy, romance, thriller, overrated, 1990"
588,Aladdin (1992),"Adventure, Animation, Children, Comedy, Musical","adventure, animation, children, comedy, musical, Disney, 1992"
589,Terminator 2: Judgment Day (1991),"Action, Sci-Fi","action, sci-fi, apocalypse, Arnold Schwarzenegger, nuclear war, sci-fi, Suspense, time travel, robots, Scifi masterpiece, 1991"
590,Dances with Wolves (1990),"Adventure, Drama, Western","adventure, drama, western, American Indians, Native Americans, 1990"
592,Batman (1989),"Action, Crime, Thriller","action, crime, thriller, superhero, 1989"
593,"Silence of the Lambs, The (1991)","Crime, Horror, Thriller","crime, horror, thriller, Hannibal Lector, disturbing, drama, gothic, psychology, suspense, 1991"
594,Snow White and the Seven Dwarfs (1937),"Animation, Children, Drama, Fantasy, Musical","animation, children, drama, fantasy, musical, Disney, 1937"
595,Beauty and the Beast (1991),"Animation, Children, Fantasy, Musical, Romance, IMAX","animation, children, fantasy, musical, romance, imax, Disney, 1991"
596,Pinocchio (1940),"Animation, Children, Fantasy, Musical","animation, children, fantasy, musical, Disney, 1940"
597,Pretty Woman (1990),"Comedy, Romance","comedy, romance, prostitution, 1990"
608,Fargo (1996),"Comedy, Crime, Drama, Thriller","comedy, crime, drama, thriller, based on a true story, dark comedy, KIDNAPPING, Steve Buscemi, Coen Brothers, 1996"
610,Heavy Metal (1981),"Action, Adventure, Animation, Horror, Sci-Fi","action, adventure, animation, horror, sci-fi, 1981"
616,"Aristocats, The (1970)","Animation, Children","animation, children, Disney, 1970"
628,Primal Fear (1996),"Crime, Drama, Mystery, Thriller","crime, drama, mystery, thriller, edward norton, psychology, suspense, thought-provoking, twist ending, priest, 1996"
637,Sgt. Bilko (1996),Comedy,"comedy, 1996"
647,Courage Under Fire (1996),"Action, Crime, Drama, War","action, crime, drama, war, Gulf War, 1996"
648,Mission: Impossible (1996),"Action, Adventure, Mystery, Thriller","action, adventure, mystery, thriller, based on a TV show, 1996"
653,Dragonheart (1996),"Action, Adventure, Fantasy","action, adventure, fantasy, 1996"
661,James and the Giant Peach (1996),"Adventure, Animation, Children, Fantasy, Musical","adventure, animation, children, fantasy, musical, 1996"
671,Mystery Science Theater 3000: The Movie (1996),"Comedy, Sci-Fi","comedy, sci-fi, spoof, 1996"
673,Space Jam (1996),"Adventure, Animation, Children, Comedy, Fantasy, Sci-Fi","adventure, animation, children, comedy, fantasy, sci-fi, Bugs Bunny, 1996"
708,"Truth About Cats & Dogs, The (1996)","Comedy, Romance","comedy, romance, Veterinarian, 1996"
719,Multiplicity (1996),Comedy,"comedy, 1996"
720,Wallace & Gromit: The Best of Aardman Animation (1996),"Adventure, Animation, Comedy","adventure, animation, comedy, Aardman, 1996"
724,"Craft, The (1996)","Drama, Fantasy, Horror, Thriller","drama, fantasy, horror, thriller, 1996"
733,"Rock, The (1996)","Action, Adventure, Thriller","action, adventure, thriller, Alcatraz, Michael Bay, terrorism, 1996"
736,Twister (1996),"Action, Adventure, Romance, Thriller","action, adventure, romance, thriller, Disaster, 1996"
741,Ghost in the Shell (Kôkaku kidôtai) (1995),"Animation, Sci-Fi","animation, sci-fi, 1995"
743,Spy Hard (1996),Comedy,"comedy, 1996"
745,Wallace & Gromit: A Close Shave (1995),"Animation, Children, Comedy","animation, children, comedy, Aardman, 1995"
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Comedy, War","comedy, war, dark comedy, Atomic bomb, black comedy, dark comedy, satire, purity of essence, Slim Pickens, black comedy, dark comedy, Quirky, 1964"
762,Striptease (1996),"Comedy, Crime","comedy, crime, 1996"
778,Trainspotting (1996),"Comedy, Crime, Drama","comedy, crime, drama, based on a book, dark comedy, narrated, drug abuse, 1996"
780,Independence Day (a.k.a. ID4) (1996),"Action, Adventure, Sci-Fi, Thriller","action, adventure, sci-fi, thriller, aliens, 1996"
783,"Hunchback of Notre Dame, The (1996)","Animation, Children, Drama, Musical, Romance","animation, children, drama, musical, romance, 1996"
784,"Cable Guy, The (1996)","Comedy, Thriller","comedy, thriller, 1996"
785,Kingpin (1996),Comedy,"comedy, 1996"
786,Eraser (1996),"Action, Drama, Thriller","action, drama, thriller, 1996"
788,"Nutty Professor, The (1996)","Comedy, Fantasy, Romance, Sci-Fi","comedy, fantasy, romance, sci-fi, 1996"
802,Phenomenon (1996),"Drama, Romance","drama, romance, 1996"
805,"Time to Kill, A (1996)","Drama, Thriller","drama, thriller, John Grisham, 1996"
832,Ransom (1996),"Crime, Thriller","crime, thriller, kidnapping, GIVE ME BACK MY SON!, It was melodramatic and kind of dumb, Mel Gibson, 1996"
837,Matilda (1996),"Children, Comedy, Fantasy","children, comedy, fantasy, 1996"
838,Emma (1996),"Comedy, Drama, Romance","comedy, drama, romance, Jane Austen, 1996"
849,Escape from L.A. (1996),"Action, Adventure, Sci-Fi, Thriller","action, adventure, sci-fi, thriller, 1996"
852,Tin Cup (1996),"Comedy, Drama, Romance","comedy, drama, romance, golf, 1996"
858,"Godfather, The (1972)","Crime, Drama","crime, drama, Mafia, 1972"
880,"Island of Dr. Moreau, The (1996)","Sci-Fi, Thriller","sci-fi, thriller, 1996"
898,"Philadelphia Story, The (1940)","Comedy, Drama, Romance","comedy, drama, romance, divorce, 1940"
899,Singin' in the Rain (1952),"Comedy, Musical, Romance","comedy, musical, romance, movie business, 1952"
902,Breakfast at Tiffany's (1961),"Drama, Romance","drama, romance, Capote, 1961"
903,Vertigo (1958),"Drama, Mystery, Romance, Thriller","drama, mystery, romance, thriller, falling, Alfred Hitchcock, Atmospheric, imdb top 250, James Stewart, 1958"
904,Rear Window (1954),"Mystery, Thriller","mystery, thriller, voyeurism, imdb top 250, James Stewart, mystery, photographer, photography, 1954"
908,North by Northwest (1959),"Action, Adventure, Mystery, Romance, Thriller","action, adventure, mystery, romance, thriller, Mount Rushmore, Alfred Hitchcock, imdb top 250, 1959"
909,"Apartment, The (1960)","Comedy, Drama, Romance","comedy, drama, romance, adultery, 1960"
910,Some Like It Hot (1959),"Comedy, Crime","comedy, crime, men in drag, 1959"
912,Casablanca (1942),"Drama, Romance","drama, romance, start of a beautiful friendship, 1942"
913,"Maltese Falcon, The (1941)","Film-Noir, Mystery","film-noir, mystery, statue, 1941"
914,My Fair Lady (1964),"Comedy, Drama, Musical, Romance","comedy, drama, musical, romance, George Bernard Shaw, 1964"
915,Sabrina (1954),"Comedy, Romance","comedy, romance, rich guy - poor girl, 1954"
916,Roman Holiday (1953),"Comedy, Drama, Romance","comedy, drama, romance, Italy, royalty, 1953"
919,"Wizard of Oz, The (1939)","Adventure, Children, Fantasy, Musical","adventure, children, fantasy, musical, Dorothy, Toto, 1939"
920,Gone with the Wind (1939),"Drama, Romance, War","drama, romance, war, Civil War, 1939"
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Drama, Film-Noir, Romance","drama, film-noir, romance, movies, eerie, movie business, 1950"
923,Citizen Kane (1941),"Drama, Mystery","drama, mystery, Rosebud, 1941"
924,2001: A Space Odyssey (1968),"Adventure, Drama, Sci-Fi","adventure, drama, sci-fi, Hal, space, aliens, apes, Arthur C. Clarke, artificial intelligence, atmospheric, cinematography, classic, computer, confusing ending, cult film, Dull, future, futuristic, imdb top 250, masterpiece, meditative, music, mystery, Oscar (Best Effects - Visual Effects), overrated, philosophical, relaxing, revolutionary, robots, sci-fi, setting:space/space ship, slow, slow paced, soundtrack, space, space travel, spacecraft, Stanley Kubrick, superb soundtrack, surreal, technology, tedious, visual, visually appealing, 1968"
953,It's a Wonderful Life (1946),"Children, Drama, Fantasy, Romance","children, drama, fantasy, romance, Christmas, 1946"
968,Night of the Living Dead (1968),"Horror, Sci-Fi, Thriller","horror, sci-fi, thriller, zombies, 1968"
969,"African Queen, The (1951)","Adventure, Comedy, Romance, War","adventure, comedy, romance, war, missionary, 1951"
1020,Cool Runnings (1993),Comedy,"comedy, 1993"
1021,Angels in the Outfield (1994),"Children, Comedy","children, comedy, 1994"
1022,Cinderella (1950),"Animation, Children, Fantasy, Musical, Romance","animation, children, fantasy, musical, romance, Disney, 1950"
1025,"Sword in the Stone, The (1963)","Animation, Children, Fantasy, Musical","animation, children, fantasy, musical, Disney, King Arthur, 1963"
1027,Robin Hood: Prince of Thieves (1991),"Adventure, Drama","adventure, drama, 1991"
1028,Mary Poppins (1964),"Children, Comedy, Fantasy, Musical","children, comedy, fantasy, musical, Disney, nanny, 1964"
1029,Dumbo (1941),"Animation, Children, Drama, Musical","animation, children, drama, musical, Disney, 1941"
1032,Alice in Wonderland (1951),"Adventure, Animation, Children, Fantasy, Musical","adventure, animation, children, fantasy, musical, Disney, 1951"
1035,"Sound of Music, The (1965)","Musical, Romance","musical, romance, Rogers and Hammerstein, 1965"
1036,Die Hard (1988),"Action, Crime, Thriller","action, crime, thriller, 1988"
1042,That Thing You Do! (1996),"Comedy, Drama","comedy, drama, Music, 1996"
1047,"Long Kiss Goodnight, The (1996)","Action, Drama, Thriller","action, drama, thriller, 1996"
1059,William Shakespeare's Romeo + Juliet (1996),"Drama, Romance","drama, romance, Amazing Cinematography, Leonardo DiCaprio, shakespeare, updated classics, Shakespeare, 1996"
1060,Swingers (1996),"Comedy, Drama","comedy, drama, 1996"
1061,Sleepers (1996),Thriller,"thriller, 1996"
1073,Willy Wonka & the Chocolate Factory (1971),"Children, Comedy, Fantasy, Musical","children, comedy, fantasy, musical, 1971"
1077,Sleeper (1973),"Comedy, Sci-Fi","comedy, sci-fi, 1973"
1079,"Fish Called Wanda, A (1988)","Comedy, Crime","comedy, crime, fish, 1988"
1080,Monty Python's Life of Brian (1979),Comedy,"comedy, Bible, parody, religion, 1979"
1084,Bonnie and Clyde (1967),"Crime, Drama","crime, drama, 1920s, gangsters, 1967"
1086,Dial M for Murder (1954),"Crime, Mystery, Thriller","crime, mystery, thriller, 1954"
1088,Dirty Dancing (1987),"Drama, Musical, Romance","drama, musical, romance, dance, music, 1987"
1089,Reservoir Dogs (1992),"Crime, Mystery, Thriller","crime, mystery, thriller, ensemble cast, nonlinear, Quentin Tarantino, stylized, heist, violence, humorous, neo-noir, Quentin Tarantino, religion, Tarantino, 1992"
1090,Platoon (1986),"Drama, War","drama, war, Vietnam, 1986"
1092,Basic Instinct (1992),"Crime, Mystery, Thriller","crime, mystery, thriller, 1992"
1093,"Doors, The (1991)",Drama,"drama, 1960s, Jim Morrison, music, 1991"
1094,"Crying Game, The (1992)","Drama, Romance, Thriller","drama, romance, thriller, 1992"
1097,E.T. the Extra-Terrestrial (1982),"Children, Drama, Sci-Fi","children, drama, sci-fi, aliens, 1982"
1101,Top Gun (1986),"Action, Romance","action, romance, predictable, Navy, 1986"
1120,"People vs. Larry Flynt, The (1996)","Comedy, Drama","comedy, drama, freedom of expression, 1996"
1127,"Abyss, The (1989)","Action, Adventure, Sci-Fi, Thriller","action, adventure, sci-fi, thriller, 1989"
1129,Escape from New York (1981),"Action, Adventure, Sci-Fi, Thriller","action, adventure, sci-fi, thriller, 1981"
