movieId,overview
118,"comedy, romance, 1996"
119,"comedy, 1995"
121,"drama, 1992"
122,"comedy, romance, dating, 1992"
123,"drama, mystery, romance, 1994"
125,"comedy, 1996"
126,"adventure, children, fantasy, 1994"
128,"documentary, 1994"
129,"comedy, romance, 1996"
132,"thriller, 1995"
135,"comedy, 1996"
137,"documentary, 1995"
140,"drama, romance, journalism, 1996"
141,"comedy, 1996"
144,"comedy, 1995"
145,"action, comedy, crime, drama, thriller, 1995"
146,"adventure, children, 1995"
147,"drama, addiction, heroin, Leonardo DiCaprio, Mark Wahlberg, 1995"
148,"drama, 1995"
149,"crime, drama, thriller, 1994"
150,"adventure, drama, imax, moon, NASA, space, 1995"
151,"action, drama, romance, war, 1995"
152,"drama, horror, 1995"
153,"action, adventure, comedy, crime, superhero, superhero, 1995"
154,"drama, 1967"
155,"adventure, drama, war, 1995"
156,"comedy, drama, 1995"
157,"comedy, war, 1995"
158,"adventure, children, 1995"
159,"crime, drama, mystery, 1995"
160,"action, adventure, mystery, sci-fi, Michael Crichton, 1995"
161,"drama, thriller, war, submarine, 1995"
162,"documentary, In Netflix queue, 1994"
163,"action, romance, western, 1995"
164,"crime, film-noir, mystery, thriller, 1995"
165,"action, crime, thriller, 1995"
166,"comedy, crime, drama, 1995"
168,"action, drama, romance, 1995"
169,"adventure, children, drama, 1995"
170,"action, adventure, crime, thriller, 1995"
171,"comedy, drama, 1995"
172,"action, sci-fi, thriller, 1995"
173,"action, crime, sci-fi, 1995"
174,"comedy, 1995"
175,"drama, controversial, New York City, Nudity (Full Frontal), 1995"
176,"comedy, 1995"
177,"horror, 1995"
178,"comedy, drama, 1993"
179,"drama, romance, 1995"
180,"comedy, romance, 1995"
181,"action, children, 1995"
183,"comedy, horror, thriller, 1994"
184,"drama, 1994"
185,"action, crime, thriller, computers, 1995"
186,"comedy, romance, 1995"
187,"comedy, 1995"
188,"fantasy, horror, mystery, 1995"
189,"comedy, fantasy, 1995"
190,"thriller, 1995"
191,"drama, romance, 1995"
193,"drama, 1995"
194,"comedy, drama, 1995"
195,"comedy, drama, romance, 1995"
196,"horror, sci-fi, 1995"
198,"action, crime, drama, mystery, sci-fi, thriller, 1995"
199,"drama, musical, romance, Made me cry, 1964"
201,"drama, fantasy, 1995"
202,"drama, romance, 1995"
203,"comedy, 1995"
204,"action, 1995"
205,"comedy, drama, 1995"
206,"documentary, 1995"
207,"drama, romance, 1995"
208,"action, adventure, sci-fi, 1995"
209,"drama, 1995"
210,"western, 1995"
211,"drama, 1994"
212,"adventure, comedy, crime, mystery, 1995"
213,"drama, 1994"
214,"drama, war, 1994"
215,"drama, romance, generation X, 1995"
216,"comedy, school, Adam Sandler, stop looking at me swan, 1995"
217,"drama, thriller, 1995"
218,"comedy, drama, 1995"
219,"drama, 1995"
220,"horror, 1995"
222,"drama, romance, Ireland, 1995"
223,"comedy, cynical, hilarious, independent film, quirky, witty, generation X, 1994"
224,"comedy, drama, romance, mental illness, psychology, 1995"
225,"drama, thriller, 1994"
227,"action, thriller, 1994"
228,"comedy, 1995"
229,"drama, thriller, 1994"
230,"drama, thriller, Stephen King, 1995"
231,"adventure, comedy, 1994"
232,"comedy, drama, romance, In Netflix queue, 1994"
233,"drama, 1994"
234,"comedy, 1994"
235,"comedy, drama, movie business, 1994"
236,"action, comedy, romance, 1995"
237,"comedy, romance, basketball, France, infertility, 1995"
238,"adventure, children, 1995"
239,"animation, children, comedy, romance, 1995"
240,"thriller, 1995"
241,"children, drama, 1995"
242,"drama, musical, 1994"
243,"children, comedy, fantasy, 1995"
246,"documentary, basketball, 1994"
247,"crime, drama, Australia, 1994"
248,"comedy, bad, Sinbad, 1994"
249,"drama, romance, Beethoven, 1994"
250,"children, comedy, 1995"
251,"action, 1995"
252,"comedy, romance, Einstein, 1994"
253,"drama, horror, 1994"
254,"drama, 1995"
255,"comedy, 1995"
256,"comedy, sci-fi, 1994"
257,"mystery, thriller, court, 1995"
258,"adventure, children, comedy, fantasy, romance, 1995"
259,"crime, drama, thriller, 1995"
260,"action, adventure, sci-fi, classic, space action, action, sci-fi, EPIC, great soundtrack, classic sci-fi, engrossing adventure, EPIC, classic, Nerd, classic sci-fi, space action, space epic, oldie but goodie, sci-fi, Star Wars, ROBOTS AND ANDROIDS, space, classic sci-fi, sci-fi, space adventure, Star Wars, darth vader, luke skywalker, space opera, 1977"
261,"drama, Louisa May Alcott, 1994"
262,"children, drama, England, Girl Power, India, 1995"
263,"drama, 1994"
265,"drama, fantasy, romance, 1992"
266,"drama, romance, war, western, 1994"
267,"comedy, 1995"
269,"drama, 1993"
270,"drama, romance, 1994"
271,"drama, 1995"
272,"comedy, drama, England, mental illness, 1994"
273,"drama, horror, sci-fi, gothic, 1994"
274,"comedy, 1995"
275,"comedy, 1994"
276,"comedy, romance, 1994"
277,"drama, Christmas, 1994"
278,"comedy, 1995"
279,"drama, In Netflix queue, 1995"
280,"drama, thriller, prison, 1995"
281,"comedy, drama, romance, 1994"
282,"drama, disability, twins, 1994"
283,"crime, drama, 1995"
284,"action, crime, 1993"
285,"drama, horror, 1993"
287,"comedy, romance, 1994"
288,"action, crime, thriller, brutality, controversial, dark comedy, psychedelic, satire, stylized, 1994"
289,"comedy, romance, 1994"
290,"crime, drama, In Netflix queue, 1994"
291,"drama, thriller, 1996"
292,"action, drama, sci-fi, thriller, 1995"
293,"action, crime, drama, thriller, assassin, Jean Reno, hit men, Action, assassin, assassination, assassins, awkward romance, corruption, crime, disturbing, drama, French, friendship, Gary Oldman, great acting, Guns, hit men, hitman, humorous, imdb top 250, Jean Reno, Lolita theme, loneliness, love story, Luc Besson, Natalie Portman, organized crime, police, police corruption, quirky, sniper, tense, touching, unique, 1994"
294,"comedy, romance, 1995"
295,"comedy, romance, 1995"
296,"comedy, crime, drama, thriller, good dialogue, great soundtrack, non-linear, cult film, drugs, Quentin Tarantino, Tarantino, hit men, 1990s, achronological, action, action packed, aggressive, amazing, amazing dialogues, anthology, assassin, atmospheric, AWESOME, bad ass, bad language, bad-ass, bible, biblical references, big boys with guns, big name actors, Black comedy, black humor, black humour, blood, blood splatters, bloody, bruce willis, brutality, casual violence, character development, characters, classic, classic movie, coke, comedy, conversation, cool, cool style, crime, crime scene scrubbing, cult, cult classic, cult film, dance, dancing, dark, dark comedy, dark humor, dialogue, different, diner, disjointed timeline, disturbing, drama, drug overdose, drugs, drugs & music, ensemble cast, entertaining, entirely dialogue, episodic, exciting, fast paced, fast-paced, film noir, film-noir, foul language, fun, funny, gangster, gangsters, genius, golden watch, good dialogue, good music, gore, great acting, great dialogue, great soundtrack, gritty, guns, Harvey Keitel, heroin, Highly quotable, hit men, hitman, homosexuality, humour, iconic, imdb top 250, innovative, intellectual, intelligent, intense, interesting, intertwining storylines, interwoven storylines, ironic, irony, John Travolta, killer-as-protagonist, los angeles, Mafia, masterpiece, meaningless violence, milkshake, mobster, mobsters, monologue, motherfucker, multiple stories, multiple storylines, neo-noir, noir, non-linear, non-linear timeline, nonlinear, nonlinear narrative, nonlinear storyline, nonlinear timeline, notable soundtrack, offensive, organised crime, organized crime, original, original plot, out of order, Palme d'Or, parody, philosophical, pop culture references, psychological, pulp, Quentin Tarantino, quirky, Quotable, r:disturbing violent content including rape, r:disturbing violent images, r:graphic sexuality, r:some violence, r:strong bloody violence, r:strong language, r:sustained strong stylized violence, r:violence, random, rape, retro, Roger Avary, royal with cheese, Samuel L. Jackson, sarcasm, satire, sexy, smart writing, sophisticated, soundtrack, splatter, Steve Buscemi, storytelling, stylish, stylized, suspense, Tarantino, thought-provoking, thriller, travolta, twist ending, Uma Thurman, unique, unpredictable, unusual, very funny, violence, violent, witty, 1994"
298,"drama, 1992"
299,"drama, 1994"
300,"drama, TV, 1994"
301,"drama, romance, 1994"
302,"drama, romance, 1994"
303,"action, thriller, western, 1995"
304,"comedy, drama, 1995"
305,"comedy, 1994"
306,"drama, 1994"
307,"drama, Death, 1993"
308,"comedy, drama, marriage, cynical, 1994"
310,"comedy, 1995"
311,"horror, thriller, 1994"
312,"comedy, 1995"
313,"animation, children, 1994"
314,"children, drama, fantasy, mystery, 1994"
315,"action, drama, thriller, 1994"
316,"action, adventure, sci-fi, time travel, 1994"
317,"comedy, drama, fantasy, Christmas, 1994"
318,"crime, drama, prison, Stephen King, wrongful imprisonment, Morgan Freeman, 1994"
319,"comedy, drama, thriller, 1994"
320,"film-noir, thriller, 1993"
321,"drama, 1993"
322,"comedy, drama, 1995"
324,"comedy, drama, 1994"
325,"comedy, 1995"
326,"drama, In Netflix queue, 1994"
327,"action, comedy, sci-fi, 1995"
328,"horror, thriller, 1995"
329,"adventure, drama, sci-fi, Enterprise, 1994"
330,"action, crime, horror, 1995"
331,"drama, 1994"
332,"horror, sci-fi, 1995"
333,"comedy, 1995"
334,"drama, 1994"
335,"mystery, thriller, 1995"
336,"drama, war, 1995"
337,"drama, mental illness, 1993"
338,"action, sci-fi, thriller, serial killer, 1995"
339,"comedy, romance, coma, 1995"
340,"adventure, drama, war, 1994"
341,"drama, 1994"
342,"comedy, Australia, weddings, 1994"
343,"children, 1995"
344,"comedy, 1994"
345,"comedy, drama, cross dressing, men in drag, remade, 1994"
346,"drama, musical, 1993"
347,"drama, film-noir, romance, 1992"
348,"comedy, 1994"
349,"action, crime, drama, thriller, Tom Clancy, 1994"
350,"drama, mystery, thriller, John Grisham, 1994"
351,"comedy, drama, romance, interracial romance, 1994"
352,"comedy, drama, 1994"
353,"action, crime, fantasy, thriller, 1994"
354,"drama, 1994"
355,"children, comedy, fantasy, 1994"
356,"comedy, drama, romance, war, shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does, bittersweet, emotional, heartwarming, touching, 1994"
357,"comedy, romance, wedding, 1994"
358,"drama, 1995"
359,"comedy, drama, romance, 1994"
360,"action, comedy, 1994"
361,"comedy, drama, romance, gambling, 1994"
362,"adventure, children, romance, 1994"
363,"documentary, Holocaust, In Netflix queue, 1993"
364,"adventure, animation, children, drama, musical, imax, Disney, Disney animated feature, Oscar (Best Music - Original Score), soundtrack, Disney, 1994"
365,"drama, 1993"
366,"drama, horror, mystery, thriller, 1994"
367,"action, comedy, crime, fantasy, 1994"
368,"adventure, comedy, western, 1994"
369,"drama, 1994"
370,"action, comedy, 1994"
371,"comedy, drama, journalism, 1994"
372,"comedy, drama, romance, 1994"
373,"thriller, 1992"
374,"children, comedy, 1994"
376,"action, thriller, 1994"
377,"action, romance, thriller, bus, 1994"
378,"comedy, romance, 1994"
379,"action, sci-fi, thriller, 1994"
380,"action, adventure, comedy, romance, thriller, spies, 1994"
381,"drama, romance, alcoholism, 1994"
382,"drama, horror, romance, thriller, 1994"
383,"western, 1994"
384,"action, crime, drama, 1995"
385,"drama, 1994"
386,"drama, 1994"
387,"action, comedy, 1994"
388,"drama, 1995"
389,"drama, romance, war, 1994"
390,"action, crime, drama, 1965"
391,"crime, drama, 1994"
393,"action, adventure, fantasy, 1994"
405,"action, fantasy, 1994"
406,"drama, 1994"
407,"horror, thriller, 1995"
408,"drama, 1994"
409,"crime, drama, 1994"
410,"children, comedy, fantasy, black comedy, Christina Ricci, Christopher Lloyd, dark comedy, family, gothic, 1993"
412,"drama, Edith Wharton, 1993"
413,"comedy, Comedy, 1994"
414,"comedy, 1994"
415,"comedy, thriller, 1993"
416,"western, 1994"
417,"comedy, romance, 1994"
418,"drama, 1993"
419,"comedy, 1993"
420,"action, comedy, crime, thriller, 1994"
421,"adventure, children, drama, horses, 1994"
422,"thriller, 1994"
423,"action, thriller, 1994"
424,"drama, 1994"
425,"drama, romance, mental illness, Oscar (Best Actress), 1994"
426,"horror, sci-fi, thriller, 1993"
427,"drama, mystery, romance, thriller, 1993"
428,"drama, 1993"
429,"comedy, 1994"
430,"comedy, drama, 1993"
431,"crime, drama, Al Pacino, gangster, mafia, 1993"
432,"adventure, comedy, western, 1994"
433,"comedy, 1994"
434,"action, adventure, thriller, 1993"
435,"comedy, sci-fi, 1993"
436,"drama, thriller, 1994"
437,"comedy, 1994"
438,"action, comedy, drama, 1994"
440,"comedy, romance, President, 1993"
441,"comedy, 1993"
442,"action, adventure, sci-fi, 1993"
444,"comedy, romance, 1993"
445,"comedy, 1993"
446,"drama, romance, 1993"
448,"drama, 1993"
449,"comedy, 1994"
450,"comedy, drama, 1994"
451,"drama, mystery, romance, 1993"
452,"drama, 1994"
453,"comedy, romance, 1993"
454,"drama, thriller, John Grisham, 1993"
455,"adventure, children, drama, 1993"
456,"crime, drama, thriller, 1994"
457,"thriller, based on a TV show, 1993"
458,"drama, western, 1993"
459,"action, adventure, crime, drama, romance, thriller, 1994"
460,"comedy, 1994"
461,"drama, romance, 1994"
464,"action, adventure, crime, thriller, 1993"
466,"action, comedy, war, 1993"
467,"comedy, 1995"
468,"comedy, romance, 1995"
469,"drama, romance, 1993"
470,"comedy, 1994"
471,"comedy, hula hoop, 1994"
472,"comedy, drama, 1994"
473,"comedy, war, 1994"
474,"action, thriller, assassination, 1993"
475,"drama, Ireland, 1993"
476,"comedy, drama, 1994"
477,"drama, musical, biopic, 1993"
478,"comedy, crime, drama, 1994"
479,"action, crime, thriller, 1993"
480,"action, adventure, sci-fi, thriller, Dinosaur, 1993"
481,"drama, thriller, 1993"
482,"crime, drama, thriller, 1994"
484,"adventure, children, 1994"
485,"action, adventure, comedy, fantasy, 1993"
486,"comedy, 1993"
487,"comedy, western, 1994"
488,"drama, romance, Japan, sexuality, 1993"
489,"comedy, 1993"
490,"thriller, 1993"
491,"drama, 1993"
492,"comedy, mystery, 1993"
493,"action, crime, drama, 1993"
494,"action, adventure, thriller, 1996"
495,"drama, 1976"
496,"comedy, drama, romance, thriller, 1994"
497,"comedy, romance, Shakespeare, 1993"
499,"comedy, romance, 1993"
500,"comedy, drama, cross dressing, divorce, men in drag, 1993"
501,"drama, 1993"
502,"action, children, romance, 1994"
504,"action, drama, sci-fi, 1994"
505,"comedy, 1994"
506,"drama, fantasy, romance, 1992"
507,"crime, drama, thriller, 1993"
508,"drama, AIDs, 1993"
509,"drama, romance, 1993"
510,"drama, 1993"
511,"action, drama, 1993"
512,"horror, sci-fi, 1994"
513,"comedy, mystery, romance, radio, show business, 1994"
514,"comedy, 1994"
515,"drama, romance, Butler, Housekeeper, 1993"
516,"comedy, drama, military, 1994"
517,"action, drama, mystery, 1993"
518,"comedy, 1994"
519,"action, crime, drama, sci-fi, thriller, 1993"
520,"comedy, 1993"
521,"crime, thriller, 1993"
522,"action, drama, Australia, racism, violence, 1992"
523,"drama, 1993"
524,"drama, football, 1993"
526,"drama, 1992"
527,"drama, war, moving, thought-provoking, Holocaust, based on a true story, biography, disturbing, holocaust, 1993"
528,"comedy, drama, 1994"
529,"drama, chess, 1993"
531,"children, drama, In Netflix queue, 1993"
532,"comedy, crime, horror, 1994"
533,"action, adventure, fantasy, mystery, 1994"
534,"drama, romance, C.S. Lewis, 1993"
535,"drama, large cast, 1993"
536,"drama, 1994"
537,"drama, 1994"
538,"drama, race, 1993"
539,"comedy, drama, romance, Empire State Building, 1993"
540,"thriller, bad, 1993"
541,"action, sci-fi, thriller, sci-fi, robots, androids, artificial intelligence, atmospheric, cyberpunk, future, mindfuck, Philip K. Dick, atmospheric, dreamlike, existentialism, philosophical, 1982"
542,"comedy, drama, romance, 1993"
543,"comedy, romance, thriller, beat poetry, 1993"
544,"action, crime, 1993"
546,"action, adventure, children, comedy, fantasy, sci-fi, 1993"
547,"action, adventure, thriller, 1994"
548,"action, mystery, thriller, 1994"
549,"drama, musical, 1993"
550,"comedy, romance, 1994"
551,"animation, children, fantasy, musical, Christmas, Halloween, 1993"
552,"action, adventure, comedy, romance, knights, 1993"
553,"action, drama, western, 1993"
555,"crime, thriller, 1993"
556,"documentary, politics, 1993"
558,"action, adventure, animation, children, fantasy, 1994"
562,"comedy, drama, adolescence, 1995"
563,"drama, romance, 1993"
564,"comedy, 1994"
567,"comedy, drama, 1993"
568,"comedy, drama, 1993"
569,"comedy, drama, 1994"
573,"drama, 1992"
574,"comedy, drama, 1994"
575,"children, comedy, 1994"
577,"adventure, children, drama, 1994"
579,"crime, thriller, 1993"
580,"drama, 1994"
581,"documentary, 1995"
583,"comedy, drama, 1994"
585,"comedy, 1995"
586,"children, comedy, christmas, 1990"
587,"comedy, drama, fantasy, romance, thriller, overrated, 1990"
588,"adventure, animation, children, comedy, musical, Disney, 1992"
589,"action, sci-fi, apocalypse, Arnold Schwarzenegger, nuclear war, sci-fi, Suspense, time travel, robots, Scifi masterpiece, 1991"
590,"adventure, drama, western, American Indians, Native Americans, 1990"
592,"action, crime, thriller, superhero, 1989"
593,"crime, horror, thriller, Hannibal Lector, disturbing, drama, gothic, psychology, suspense, 1991"
594,"animation, children, drama, fantasy, musical, Disney, 1937"
595,"animation, children, fantasy, musical, romance, imax, Disney, 1991"
596,"animation, children, fantasy, musical, Disney, 1940"
597,"comedy, romance, prostitution, 1990"
599,"adventure, western, 1969"
600,"action, comedy, crime, 1994"
602,"documentary, 1994"
605,"drama, romance, 1996"
606,"fantasy, horror, 1995"
608,"comedy, crime, drama, thriller, based on a true story, dark comedy, KIDNAPPING, Steve Buscemi, Coen Brothers, 1996"
609,"adventure, children, 1996"
610,"action, adventure, animation, horror, sci-fi, 1981"
611,"action, horror, sci-fi, 1996"
612,"comedy, 1996"
613,"drama, romance, 1996"
615,"comedy, drama, 1973"
616,"animation, children, Disney, 1970"
617,"comedy, drama, 1995"
618,"comedy, romance, 1995"
619,"comedy, 1996"
626,"comedy, 1996"
627,"drama, thriller, 1995"
628,"crime, drama, mystery, thriller, edward norton, psychology, suspense, thought-provoking, twist ending, priest, 1996"
631,"adventure, animation, children, fantasy, musical, romance, 1996"
632,"drama, war, 1995"
633,"comedy, 1995"
634,"comedy, 1995"
635,"comedy, drama, 1996"
636,"drama, 1995"
637,"comedy, 1996"
638,"romance, babies, 1995"
639,"comedy, drama, 1996"
640,"drama, thriller, 1996"
645,"drama, 1995"
647,"action, crime, drama, war, Gulf War, 1996"
648,"action, adventure, mystery, thriller, based on a TV show, 1996"
649,"comedy, drama, 1995"
650,"drama, 1996"
653,"action, adventure, fantasy, 1996"
656,"comedy, 1996"
661,"adventure, animation, children, fantasy, musical, 1996"
662,"thriller, 1996"
663,"comedy, 1996"
665,"comedy, drama, war, 1995"
667,"action, 1996"
668,"drama, India, 1955"
670,"drama, India, 1959"
671,"comedy, sci-fi, spoof, 1996"
673,"adventure, animation, children, comedy, fantasy, sci-fi, Bugs Bunny, 1996"
674,"adventure, comedy, sci-fi, 1968"
678,"drama, thriller, 1993"
679,"drama, 1995"
680,"drama, mystery, romance, sci-fi, thriller, 1965"
685,"drama, 1996"
688,"action, adventure, comedy, war, 1995"
691,"comedy, romance, 1996"
692,"action, sci-fi, thriller, 1996"
694,"action, crime, drama, 1996"
695,"mystery, thriller, 1996"
697,"drama, romance, 1996"
698,"drama, 1995"
700,"comedy, 1995"
703,"drama, 1996"
704,"action, adventure, 1996"
706,"drama, 1996"
707,"crime, drama, thriller, bad, 1996"
708,"comedy, romance, Veterinarian, 1996"
709,"adventure, animation, children, comedy, musical, 1988"
710,"comedy, 1996"
711,"adventure, children, 1996"
714,"drama, mystery, western, 1995"
715,"drama, romance, 1995"
718,"comedy, fantasy, sci-fi, 1993"
719,"comedy, 1996"
720,"adventure, animation, comedy, Aardman, 1996"
722,"documentary, 1996"
724,"drama, fantasy, horror, thriller, 1996"
725,"comedy, 1996"
726,"drama, 1996"
728,"comedy, In Netflix queue, 1995"
731,"crime, thriller, 1996"
733,"action, adventure, thriller, Alcatraz, Michael Bay, terrorism, 1996"
735,"horror, 1994"
736,"action, adventure, romance, thriller, Disaster, 1996"
737,"action, sci-fi, 1996"
741,"animation, sci-fi, 1995"
742,"horror, thriller, 1996"
743,"comedy, 1996"
745,"animation, children, comedy, Aardman, 1995"
747,"comedy, 1996"
748,"action, sci-fi, thriller, aliens, 1996"
750,"comedy, war, dark comedy, Atomic bomb, black comedy, dark comedy, satire, purity of essence, Slim Pickens, black comedy, dark comedy, Quirky, 1964"
757,"drama, 1994"
759,"documentary, 1994"
760,"drama, war, 1993"
761,"action, adventure, 1996"
762,"comedy, crime, 1996"
764,"drama, romance, 1995"
765,"comedy, drama, 1996"
766,"drama, 1996"
773,"drama, 1973"
775,"horror, mystery, 1968"
778,"comedy, crime, drama, based on a book, dark comedy, narrated, drug abuse, 1996"
779,"drama, romance, 1997"
780,"action, adventure, sci-fi, thriller, aliens, 1996"
781,"drama, 1996"
782,"drama, thriller, 1996"
783,"animation, children, drama, musical, romance, 1996"
784,"comedy, thriller, 1996"
785,"comedy, 1996"
786,"action, drama, thriller, 1996"
788,"comedy, fantasy, romance, sci-fi, 1996"
790,"drama, 1994"
791,"documentary, 1994"
795,"drama, 1994"
798,"action, adventure, drama, thriller, 1996"
799,"comedy, horror, thriller, 1996"
800,"drama, mystery, western, In Netflix queue, 1996"
801,"children, comedy, 1996"
802,"drama, romance, 1996"
803,"comedy, drama, romance, 1996"
804,"comedy, romance, 1996"
805,"drama, thriller, John Grisham, 1996"
806,"crime, drama, 1996"
808,"adventure, children, 1996"
809,"action, adventure, 1996"
810,"children, comedy, fantasy, 1996"
813,"comedy, 1996"
818,"comedy, based on a TV show, 1996"
823,"drama, 1967"
824,"drama, mystery, 1993"
828,"adventure, children, 1996"
829,"comedy, fantasy, musical, 1996"
830,"comedy, adultery, 1996"
832,"crime, thriller, kidnapping, GIVE ME BACK MY SON!, It was melodramatic and kind of dumb, Mel Gibson, 1996"
833,"comedy, 1996"
835,"drama, 1996"
836,"action, adventure, thriller, seen at the cinema, 1996"
837,"children, comedy, fantasy, 1996"
838,"comedy, drama, romance, Jane Austen, 1996"
839,"action, thriller, 1996"
840,"children, comedy, 1996"
841,"horror, 1959"
842,"comedy, horror, 1996"
848,"drama, 1996"
849,"action, adventure, sci-fi, thriller, 1996"
851,"drama, 1996"
852,"comedy, drama, romance, golf, 1996"
858,"crime, drama, Mafia, 1972"
861,"action, comedy, crime, thriller, 1992"
866,"crime, drama, romance, thriller, 1996"
867,"comedy, crime, 1996"
869,"crime, drama, musical, thriller, 1996"
870,"comedy, 1997"
875,"action, crime, drama, 1994"
876,"action, comedy, crime, thriller, 1993"
879,"horror, thriller, 1997"
880,"sci-fi, thriller, 1996"
881,"children, comedy, 1996"
882,"drama, thriller, 1996"
885,"children, drama, fantasy, 1996"
886,"action, comedy, crime, 1996"
888,"adventure, animation, children, musical, 1995"
889,"drama, romance, 1994"
891,"horror, thriller, 1995"
892,"comedy, drama, romance, Shakespeare, 1996"
893,"drama, 1996"
896,"drama, 1994"
897,"adventure, drama, romance, war, 1943"
898,"comedy, drama, romance, divorce, 1940"
899,"comedy, musical, romance, movie business, 1952"
900,"musical, romance, France, 1951"
901,"comedy, musical, 1957"
902,"drama, romance, Capote, 1961"
903,"drama, mystery, romance, thriller, falling, Alfred Hitchcock, Atmospheric, imdb top 250, James Stewart, 1958"
904,"mystery, thriller, voyeurism, imdb top 250, James Stewart, mystery, photographer, photography, 1954"
905,"comedy, romance, Screwball, 1934"
906,"drama, thriller, Brooch, 1944"
907,"comedy, musical, romance, divorce, 1934"
908,"action, adventure, mystery, romance, thriller, Mount Rushmore, Alfred Hitchcock, imdb top 250, 1959"
909,"comedy, drama, romance, adultery, 1960"
910,"comedy, crime, men in drag, 1959"
911,"comedy, crime, mystery, romance, thriller, heist, 1963"
912,"drama, romance, start of a beautiful friendship, 1942"
913,"film-noir, mystery, statue, 1941"
914,"comedy, drama, musical, romance, George Bernard Shaw, 1964"
915,"comedy, romance, rich guy - poor girl, 1954"
